content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,content_cleaned,content_cleaned_stopwords,tokens,clean_tokens,stemmed_tokens,final_text,text_length,score_label
aplikasi nya okk... tp terkadang pelayanan msh krg ramah terutama petugas perempuan....apalagi klo sdh mau ganti sift.. ,5,0,,2025-09-06 04:18:22,,,aplikasi nya ok tapi terkadang pelayanan masih kurang ramah terutama petugas perempuan apalagi kalau sudah mau ganti sift,aplikasi ok terkadang pelayanan ramah petugas perempuan ganti sift,"['aplikasi', 'nya', 'ok', 'tapi', 'terkadang', 'pelayanan', 'masih', 'kurang', 'ramah', 'terutama', 'petugas', 'perempuan', 'apalagi', 'kalau', 'sudah', 'mau', 'ganti', 'sift']","['aplikasi', 'ok', 'terkadang', 'pelayanan', 'ramah', 'petugas', 'perempuan', 'ganti', 'sift']","['aplikasi', 'ok', 'terkadang', 'layan', 'ramah', 'tugas', 'perempuan', 'ganti', 'sift']",aplikasi ok terkadang layan ramah tugas perempuan ganti sift,9,Positive
sangat sangat membantu saya sebagai pendatang baru di daerah istimewa yogyakarta. terima kasih atas bantuannya.,5,0,2.3.5,2025-09-03 07:21:18,,,sangat sangat membantu saya sebagai pendatang baru di daerah istimewa yogyakarta terimakasih atas bantuannya,membantu pendatang daerah istimewa yogyakarta terimakasih bantuannya,"['sangat', 'sangat', 'membantu', 'saya', 'sebagai', 'pendatang', 'baru', 'di', 'daerah', 'istimewa', 'yogyakarta', 'terimakasih', 'atas', 'bantuannya']","['membantu', 'pendatang', 'daerah', 'istimewa', 'yogyakarta', 'terimakasih', 'bantuannya']","['bantu', 'datang', 'daerah', 'istimewa', 'yogyakarta', 'terimakasih', 'bantu']",bantu datang daerah istimewa yogyakarta terimakasih bantu,7,Positive
"sangat membantu mobilitas. murah, nyaman",5,0,2.3.5,2025-09-02 03:55:16,,,sangat membantu mobilitas murah nyaman,membantu mobilitas murah nyaman,"['sangat', 'membantu', 'mobilitas', 'murah', 'nyaman']","['membantu', 'mobilitas', 'murah', 'nyaman']","['bantu', 'mobilitas', 'murah', 'nyaman']",bantu mobilitas murah nyaman,4,Positive
"mau login aja susah, karang suruh pake email tapi waktu dimasukin nama email dan sandinya malah akun sudah ada di perangkat anda, buat akun baru pun sama saja  trus aja gitu sampe kiamat",1,0,2.3.5,2025-09-01 00:18:48,,,mau login saja susah karang suruh pakai email tapi waktu dimasukin nama email dan sandinya malah akun sudah ada di perangkat anda buat akun baru pun sama saja terus saja gitu sampai kiamat,login susah karang suruh pakai email dimasukin nama email sandinya akun perangkat akun gitu kiamat,"['mau', 'login', 'saja', 'susah', 'karang', 'suruh', 'pakai', 'email', 'tapi', 'waktu', 'dimasukin', 'nama', 'email', 'dan', 'sandinya', 'malah', 'akun', 'sudah', 'ada', 'di', 'perangkat', 'anda', 'buat', 'akun', 'baru', 'pun', 'sama', 'saja', 'terus', 'saja', 'gitu', 'sampai', 'kiamat']","['login', 'susah', 'karang', 'suruh', 'pakai', 'email', 'dimasukin', 'nama', 'email', 'sandinya', 'akun', 'perangkat', 'akun', 'gitu', 'kiamat']","['login', 'susah', 'karang', 'suruh', 'pakai', 'email', 'dimasukin', 'nama', 'email', 'sandi', 'akun', 'perangkat', 'akun', 'gitu', 'kiamat']",login susah karang suruh pakai email dimasukin nama email sandi akun perangkat akun gitu kiamat,15,Negative
bisa melihat bus terdekat di halte,5,0,2.3.5,2025-08-31 11:38:35,,,bisa melihat bus terdekat di halte,bus terdekat halte,"['bisa', 'melihat', 'bus', 'terdekat', 'di', 'halte']","['bus', 'terdekat', 'halte']","['bus', 'dekat', 'halte']",bus dekat halte,3,Positive
"aplikasi ini minta mengelola prangkat telepon, saya tapi saya tolak!!!!!! jika komentar saya di hapus brarti benar hati2 penyadapan???",1,0,,2025-08-23 10:23:20,,,aplikasi ini minta mengelola prangkat telepon saya tapi saya tolak jika komentar saya di hapus berarti benar hati penyadapan,aplikasi mengelola prangkat telepon tolak komentar hapus hati penyadapan,"['aplikasi', 'ini', 'minta', 'mengelola', 'prangkat', 'telepon', 'saya', 'tapi', 'saya', 'tolak', 'jika', 'komentar', 'saya', 'di', 'hapus', 'berarti', 'benar', 'hati', 'penyadapan']","['aplikasi', 'mengelola', 'prangkat', 'telepon', 'tolak', 'komentar', 'hapus', 'hati', 'penyadapan']","['aplikasi', 'kelola', 'prangkat', 'telepon', 'tolak', 'komentar', 'hapus', 'hati', 'sadap']",aplikasi kelola prangkat telepon tolak komentar hapus hati sadap,9,Negative
perbaiki bug bis diam ditempat,5,0,2.3.5,2025-08-22 07:10:57,,,perbaiki bug bus diam ditempat,perbaiki bug bus diam ditempat,"['perbaiki', 'bug', 'bus', 'diam', 'ditempat']","['perbaiki', 'bug', 'bus', 'diam', 'ditempat']","['baik', 'bug', 'bus', 'diam', 'tempat']",baik bug bus diam tempat,5,Positive
"mudah dimengerti dan mempermudah saya dalam menjalankan aktivitas sehari hari,terima kasih trans jogja,memang istimewa.sangat sangat menolong ",5,0,2.3.5,2025-08-20 07:39:55,,,mudah dimengerti dan mempermudah saya dalam menjalankan aktivitas sehari hari terimakasih transjogja transjogja memang istimewa sangat sangat menolong,mudah dimengerti mempermudah menjalankan aktivitas sehari terimakasih transjogja transjogja istimewa menolong,"['mudah', 'dimengerti', 'dan', 'mempermudah', 'saya', 'dalam', 'menjalankan', 'aktivitas', 'sehari', 'hari', 'terimakasih', 'transjogja', 'transjogja', 'memang', 'istimewa', 'sangat', 'sangat', 'menolong']","['mudah', 'dimengerti', 'mempermudah', 'menjalankan', 'aktivitas', 'sehari', 'terimakasih', 'transjogja', 'transjogja', 'istimewa', 'menolong']","['mudah', 'erti', 'mudah', 'jalan', 'aktivitas', 'hari', 'terimakasih', 'transjogja', 'transjogja', 'istimewa', 'tolong']",mudah erti mudah jalan aktivitas hari terimakasih transjogja transjogja istimewa tolong,11,Positive
"tolong sistem tracking nya di benarkan, merepotkan kalau ga bisa nge tracking ",2,0,2.3.5,2025-08-19 06:00:41,,,tolong sistem tracking nya di benarkan merepotkan kalau tidak bisa nge tracking,tolong sistem tracking benarkan merepotkan nge tracking,"['tolong', 'sistem', 'tracking', 'nya', 'di', 'benarkan', 'merepotkan', 'kalau', 'tidak', 'bisa', 'nge', 'tracking']","['tolong', 'sistem', 'tracking', 'benarkan', 'merepotkan', 'nge', 'tracking']","['tolong', 'sistem', 'tracking', 'benar', 'repot', 'nge', 'tracking']",tolong sistem tracking benar repot nge tracking,7,Negative
"terimakasih trans jogja , mempermudah saya untuk akses ke sekolah .",5,0,2.3.5,2025-08-18 12:08:54,,,terimakasih transjogja transjogja mempermudah saya untuk akses ke sekolah,terimakasih transjogja transjogja mempermudah akses sekolah,"['terimakasih', 'transjogja', 'transjogja', 'mempermudah', 'saya', 'untuk', 'akses', 'ke', 'sekolah']","['terimakasih', 'transjogja', 'transjogja', 'mempermudah', 'akses', 'sekolah']","['terimakasih', 'transjogja', 'transjogja', 'mudah', 'akses', 'sekolah']",terimakasih transjogja transjogja mudah akses sekolah,6,Positive
sangat membantu,5,0,2.3.5,2025-08-17 08:42:30,,,sangat membantu,membantu,"['sangat', 'membantu']",['membantu'],['bantu'],bantu,1,Positive
sangat membantu masyarakat apalagi pelajar,5,0,2.3.5,2025-08-17 02:16:29,,,sangat membantu masyarakat apalagi pelajar,membantu masyarakat pelajar,"['sangat', 'membantu', 'masyarakat', 'apalagi', 'pelajar']","['membantu', 'masyarakat', 'pelajar']","['bantu', 'masyarakat', 'ajar']",bantu masyarakat ajar,3,Positive
luar biasa,5,0,2.3.5,2025-08-16 01:55:24,,,luar biasa,luar biasa,"['luar', 'biasa']","['luar', 'biasa']","['luar', 'biasa']",luar biasa,2,Positive
terimakasih atas pelayanan selama inj,5,0,2.3.5,2025-08-15 08:09:53,,,terimakasih atas pelayanan selama inj,terimakasih pelayanan inj,"['terimakasih', 'atas', 'pelayanan', 'selama', 'inj']","['terimakasih', 'pelayanan', 'inj']","['terimakasih', 'layan', 'inj']",terimakasih layan inj,3,Positive
"bagus,tingkatin",5,0,2.3.5,2025-08-14 10:08:40,,,bagus tingkatin,bagus tingkatin,"['bagus', 'tingkatin']","['bagus', 'tingkatin']","['bagus', 'tingkatin']",bagus tingkatin,2,Positive
sangat bermanfaat sekali,5,0,2.3.5,2025-08-13 09:47:44,,,sangat bermanfaat sekali,bermanfaat,"['sangat', 'bermanfaat', 'sekali']",['bermanfaat'],['manfaat'],manfaat,1,Positive
mamtap,5,0,2.3.5,2025-08-05 16:44:51,,,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap,1,Positive
panduan lengkap dan tidak lelet. juga tidak perlu sign up. weldone!,5,1,2.3.5,2025-08-01 01:42:58,,,panduan lengkap dan tidak lelet juga tidak perlu sign up weldone,panduan lengkap lelet sign up weldone,"['panduan', 'lengkap', 'dan', 'tidak', 'lelet', 'juga', 'tidak', 'perlu', 'sign', 'up', 'weldone']","['panduan', 'lengkap', 'lelet', 'sign', 'up', 'weldone']","['pandu', 'lengkap', 'lelet', 'sign', 'up', 'weldone']",pandu lengkap lelet sign up weldone,6,Positive
bagus,5,0,2.3.5,2025-07-31 23:40:52,,,bagus,bagus,['bagus'],['bagus'],['bagus'],bagus,1,Positive
cukup informatif,4,0,2.3.5,2025-07-23 23:18:06,,,cukup informatif,informatif,"['cukup', 'informatif']",['informatif'],['informatif'],informatif,1,Positive
"penjaga asik main hp sendiri, bis dibiarin lewat begitu saja",1,0,,2025-07-23 05:10:19,,,penjaga asik main hp sendiri bus dibiarin lewat begitu saja,penjaga asik main hp bus dibiarin,"['penjaga', 'asik', 'main', 'hp', 'sendiri', 'bus', 'dibiarin', 'lewat', 'begitu', 'saja']","['penjaga', 'asik', 'main', 'hp', 'bus', 'dibiarin']","['jaga', 'asik', 'main', 'hp', 'bus', 'dibiarin']",jaga asik main hp bus dibiarin,6,Negative
"terima kasih sekali, sangat membantu dan informatif, perjalanan jadi lebih sat set ",5,3,2.3.3,2025-07-13 05:03:55,,,terimakasih sekali sangat membantu dan informatif perjalanan jadi lebih sat set,terimakasih membantu informatif perjalanan sat set,"['terimakasih', 'sekali', 'sangat', 'membantu', 'dan', 'informatif', 'perjalanan', 'jadi', 'lebih', 'sat', 'set']","['terimakasih', 'membantu', 'informatif', 'perjalanan', 'sat', 'set']","['terimakasih', 'bantu', 'informatif', 'jalan', 'sat', 'set']",terimakasih bantu informatif jalan sat set,6,Positive
ok,5,0,2.3.3,2025-07-13 03:55:33,,,ok,ok,['ok'],['ok'],['ok'],ok,1,Positive
aplikasi yang sangat membantu sekali selama di jogja. bisa keliling jogja santai sambil duduk manis,5,1,2.3.2,2025-07-11 07:02:51,,,aplikasi yang sangat membantu sekali selama di transjogja bisa keliling transjogja santai sambil duduk manis,aplikasi membantu transjogja keliling transjogja santai duduk manis,"['aplikasi', 'yang', 'sangat', 'membantu', 'sekali', 'selama', 'di', 'transjogja', 'bisa', 'keliling', 'transjogja', 'santai', 'sambil', 'duduk', 'manis']","['aplikasi', 'membantu', 'transjogja', 'keliling', 'transjogja', 'santai', 'duduk', 'manis']","['aplikasi', 'bantu', 'transjogja', 'keliling', 'transjogja', 'santai', 'duduk', 'manis']",aplikasi bantu transjogja keliling transjogja santai duduk manis,8,Positive
"aplikasi trans jogja memang luar biasa, bisa mengetahui jadwal rute trans jogja dengan akurat, apalagi bisa membeli voucher atau tiket secara online. untuk pembelian tiket secara online, tolong ditambahkan pembayaran go-pay, dana, shopeepay, dan lain-lain. ",5,8,2.3.2,2025-07-09 15:38:08,,,aplikasi transjogja transjogja memang luar biasa bisa mengetahui jadwal rute transjogja transjogja dengan akurat apalagi bisa membeli voucher atau tiket secara online untuk pembelian tiket secara online tolong ditambahkan pembayaran go pay dana shopeepay dan lain lain,aplikasi transjogja transjogja luar biasa jadwal rute transjogja transjogja akurat membeli voucher tiket online pembelian tiket online tolong pembayaran go pay dana shopeepay,"['aplikasi', 'transjogja', 'transjogja', 'memang', 'luar', 'biasa', 'bisa', 'mengetahui', 'jadwal', 'rute', 'transjogja', 'transjogja', 'dengan', 'akurat', 'apalagi', 'bisa', 'membeli', 'voucher', 'atau', 'tiket', 'secara', 'online', 'untuk', 'pembelian', 'tiket', 'secara', 'online', 'tolong', 'ditambahkan', 'pembayaran', 'go', 'pay', 'dana', 'shopeepay', 'dan', 'lain', 'lain']","['aplikasi', 'transjogja', 'transjogja', 'luar', 'biasa', 'jadwal', 'rute', 'transjogja', 'transjogja', 'akurat', 'membeli', 'voucher', 'tiket', 'online', 'pembelian', 'tiket', 'online', 'tolong', 'pembayaran', 'go', 'pay', 'dana', 'shopeepay']","['aplikasi', 'transjogja', 'transjogja', 'luar', 'biasa', 'jadwal', 'rute', 'transjogja', 'transjogja', 'akurat', 'beli', 'voucher', 'tiket', 'online', 'beli', 'tiket', 'online', 'tolong', 'bayar', 'go', 'pay', 'dana', 'shopeepay']",aplikasi transjogja transjogja luar biasa jadwal rute transjogja transjogja akurat beli voucher tiket online beli tiket online tolong bayar go pay dana shopeepay,23,Positive
mantap sangat sangat membantu sekali trans jogja ini terima kasih  semoga njalur yg ke imogiri sm srandakan di tmbh armada nya,5,0,2.3.2,2025-07-07 01:16:42,,,mantap sangat sangat membantu sekali transjogja transjogja ini terimakasih semoga njalur yang ke imogiri sm srandakan di tmbh armada nya,mantap membantu transjogja transjogja terimakasih semoga njalur imogiri sm srandakan tmbh armada,"['mantap', 'sangat', 'sangat', 'membantu', 'sekali', 'transjogja', 'transjogja', 'ini', 'terimakasih', 'semoga', 'njalur', 'yang', 'ke', 'imogiri', 'sm', 'srandakan', 'di', 'tmbh', 'armada', 'nya']","['mantap', 'membantu', 'transjogja', 'transjogja', 'terimakasih', 'semoga', 'njalur', 'imogiri', 'sm', 'srandakan', 'tmbh', 'armada']","['mantap', 'bantu', 'transjogja', 'transjogja', 'terimakasih', 'moga', 'njalur', 'imogiri', 'sm', 'srandakan', 'tmbh', 'armada']",mantap bantu transjogja transjogja terimakasih moga njalur imogiri sm srandakan tmbh armada,12,Positive
mantap,5,0,2.3.2,2025-07-06 03:33:31,,,mantap,mantap,['mantap'],['mantap'],['mantap'],mantap,1,Positive
"dlm seminggu 1 atau 2 x pake transportasi ini, secara keseluruhan cukup ok, hanya saja tadi malam (17 juni 2025) sangat kecewa dengan pelayana kru tj, paksa 7 penumpan turun tanpa pemberitahuan sebelumnya, saya tanya alasan diminta turun, dijawab jam operasional sudah habis (saat itu jam 20.26) di halte amikom kondisi gelap, ok lah kalau sdh aturan, tapi setidaknya ada pemberitahuan pada saat penumpang naik atau paling tidak di halte concat, jadi sdh ada persiapan apalagi lagi bawa bayi..!",2,1,,2025-06-18 03:09:55,,,dalam seminggu atau x pakai transportasi ini secara keseluruhan cukup ok hanya saja tadi malam juni sangat kecewa dengan pelayana kru transjogja paksa penumpan turun tanpa pemberitahuan sebelumnya saya tanya alasan diminta turun dijawab jam operasional sudah habis saat itu jam di halte amikom kondisi gelap ok lah kalau sudah aturan tapi setidaknya ada pemberitahuan pada saat penumpang naik atau paling tidak di halte concat jadi sudah ada persiapan apalagi lagi bawa bayi,seminggu x pakai transportasi ok malam juni kecewa pelayana kru transjogja paksa penumpan turun pemberitahuan alasan turun jam operasional habis jam halte amikom kondisi gelap ok aturan pemberitahuan penumpang halte concat persiapan bawa bayi,"['dalam', 'seminggu', 'atau', 'x', 'pakai', 'transportasi', 'ini', 'secara', 'keseluruhan', 'cukup', 'ok', 'hanya', 'saja', 'tadi', 'malam', 'juni', 'sangat', 'kecewa', 'dengan', 'pelayana', 'kru', 'transjogja', 'paksa', 'penumpan', 'turun', 'tanpa', 'pemberitahuan', 'sebelumnya', 'saya', 'tanya', 'alasan', 'diminta', 'turun', 'dijawab', 'jam', 'operasional', 'sudah', 'habis', 'saat', 'itu', 'jam', 'di', 'halte', 'amikom', 'kondisi', 'gelap', 'ok', 'lah', 'kalau', 'sudah', 'aturan', 'tapi', 'setidaknya', 'ada', 'pemberitahuan', 'pada', 'saat', 'penumpang', 'naik', 'atau', 'paling', 'tidak', 'di', 'halte', 'concat', 'jadi', 'sudah', 'ada', 'persiapan', 'apalagi', 'lagi', 'bawa', 'bayi']","['seminggu', 'x', 'pakai', 'transportasi', 'ok', 'malam', 'juni', 'kecewa', 'pelayana', 'kru', 'transjogja', 'paksa', 'penumpan', 'turun', 'pemberitahuan', 'alasan', 'turun', 'jam', 'operasional', 'habis', 'jam', 'halte', 'amikom', 'kondisi', 'gelap', 'ok', 'aturan', 'pemberitahuan', 'penumpang', 'halte', 'concat', 'persiapan', 'bawa', 'bayi']","['minggu', 'x', 'pakai', 'transportasi', 'ok', 'malam', 'juni', 'kecewa', 'pelayana', 'kru', 'transjogja', 'paksa', 'penumpan', 'turun', 'pemberitahuan', 'alas', 'turun', 'jam', 'operasional', 'habis', 'jam', 'halte', 'amikom', 'kondisi', 'gelap', 'ok', 'atur', 'pemberitahuan', 'tumpang', 'halte', 'concat', 'siap', 'bawa', 'bayi']",minggu x pakai transportasi ok malam juni kecewa pelayana kru transjogja paksa penumpan turun pemberitahuan alas turun jam operasional habis jam halte amikom kondisi gelap ok atur pemberitahuan tumpang halte concat siap bawa bayi,34,Negative
iniii kenapa gk biaa logg innn tolong yh beri info segera!!!!!!!,3,0,2.3.2,2025-06-12 12:50:16,,,ini kenapa tidak bia log in tolong ya beri info segera,bia log in tolong info,"['ini', 'kenapa', 'tidak', 'bia', 'log', 'in', 'tolong', 'ya', 'beri', 'info', 'segera']","['bia', 'log', 'in', 'tolong', 'info']","['bia', 'log', 'in', 'tolong', 'info']",bia log in tolong info,5,Neutral
akurat,5,0,2.3.2,2025-06-09 03:49:04,,,akurat,akurat,['akurat'],['akurat'],['akurat'],akurat,1,Positive
pelayanan tidak sopan kurang adat cek lagi yang jaga di halte 1 malioboro menggoda istri orang,1,0,,2025-06-06 10:06:41,,,pelayanan tidak sopan kurang adat cek lagi yang jaga di halte malioboro menggoda istri orang,pelayanan sopan adat cek jaga halte malioboro menggoda istri orang,"['pelayanan', 'tidak', 'sopan', 'kurang', 'adat', 'cek', 'lagi', 'yang', 'jaga', 'di', 'halte', 'malioboro', 'menggoda', 'istri', 'orang']","['pelayanan', 'sopan', 'adat', 'cek', 'jaga', 'halte', 'malioboro', 'menggoda', 'istri', 'orang']","['layan', 'sopan', 'adat', 'cek', 'jaga', 'halte', 'malioboro', 'goda', 'istri', 'orang']",layan sopan adat cek jaga halte malioboro goda istri orang,10,Negative
baik pelayanan transportasi umum,5,0,2.3.2,2025-06-04 03:24:12,,,baik pelayanan transportasi umum,baik pelayanan transportasi,"['baik', 'pelayanan', 'transportasi', 'umum']","['baik', 'pelayanan', 'transportasi']","['baik', 'layan', 'transportasi']",baik layan transportasi,3,Positive
"ditunggu rute baru di dua kabupaten diy gunung kidul dan kulonprogo, dan juga khususnya di rute tempat2 wisata seperti pantai2.",5,0,2.3.2,2025-06-03 01:27:51,,,ditunggu rute baru di dua kabupaten diy gunung kidul dan kulonprogo dan juga khususnya di rute tempat wisata seperti pantai,ditunggu rute kabupaten diy gunung kidul kulonprogo rute wisata pantai,"['ditunggu', 'rute', 'baru', 'di', 'dua', 'kabupaten', 'diy', 'gunung', 'kidul', 'dan', 'kulonprogo', 'dan', 'juga', 'khususnya', 'di', 'rute', 'tempat', 'wisata', 'seperti', 'pantai']","['ditunggu', 'rute', 'kabupaten', 'diy', 'gunung', 'kidul', 'kulonprogo', 'rute', 'wisata', 'pantai']","['tunggu', 'rute', 'kabupaten', 'diy', 'gunung', 'kidul', 'kulonprogo', 'rute', 'wisata', 'pantai']",tunggu rute kabupaten diy gunung kidul kulonprogo rute wisata pantai,10,Positive
good,5,0,2.3.2,2025-06-03 00:50:51,,,good,good,['good'],['good'],['good'],good,1,Positive
"kurang lengkap menurut sy, sy kan dr desa yg gak ada transjogja, mau ke kota, gak ada jalur di keterangannya, kl yg apk transjogja yg satunya dijelaskan kl mesti naik motor ke terminal 15mnt, lalu naik trans ke halte berapa aja sampai ke tujuan atau halte terdekat, kl tujuan jauh dr halte ada keterangan jalan kaki brp menit atau naik ojek, tp apk itu udah gak bisa dipake.",3,2,2.3.2,2025-05-27 13:10:34,,,kurang lengkap menurut saya saya kan dari desa yang tidak ada transjogja mau ke kota tidak ada jalur di keterangannya kalau yang aplikasi transjogja yang satunya dijelaskan kalau mesti naik motor ke terminal mnt lalu naik transjogja ke halte berapa saja sampai ke tujuan atau halte terdekat kalau tujuan jauh dari halte ada keterangan jalan kaki brp menit atau naik ojek tapi aplikasi itu udah tidak bisa dipakai,lengkap desa transjogja kota jalur keterangannya aplikasi transjogja satunya mesti motor terminal mnt transjogja halte tujuan halte terdekat tujuan halte keterangan jalan kaki brp menit ojek aplikasi udah dipakai,"['kurang', 'lengkap', 'menurut', 'saya', 'saya', 'kan', 'dari', 'desa', 'yang', 'tidak', 'ada', 'transjogja', 'mau', 'ke', 'kota', 'tidak', 'ada', 'jalur', 'di', 'keterangannya', 'kalau', 'yang', 'aplikasi', 'transjogja', 'yang', 'satunya', 'dijelaskan', 'kalau', 'mesti', 'naik', 'motor', 'ke', 'terminal', 'mnt', 'lalu', 'naik', 'transjogja', 'ke', 'halte', 'berapa', 'saja', 'sampai', 'ke', 'tujuan', 'atau', 'halte', 'terdekat', 'kalau', 'tujuan', 'jauh', 'dari', 'halte', 'ada', 'keterangan', 'jalan', 'kaki', 'brp', 'menit', 'atau', 'naik', 'ojek', 'tapi', 'aplikasi', 'itu', 'udah', 'tidak', 'bisa', 'dipakai']","['lengkap', 'desa', 'transjogja', 'kota', 'jalur', 'keterangannya', 'aplikasi', 'transjogja', 'satunya', 'mesti', 'motor', 'terminal', 'mnt', 'transjogja', 'halte', 'tujuan', 'halte', 'terdekat', 'tujuan', 'halte', 'keterangan', 'jalan', 'kaki', 'brp', 'menit', 'ojek', 'aplikasi', 'udah', 'dipakai']","['lengkap', 'desa', 'transjogja', 'kota', 'jalur', 'terang', 'aplikasi', 'transjogja', 'satu', 'mesti', 'motor', 'terminal', 'mnt', 'transjogja', 'halte', 'tuju', 'halte', 'dekat', 'tuju', 'halte', 'terang', 'jalan', 'kaki', 'brp', 'menit', 'ojek', 'aplikasi', 'udah', 'pakai']",lengkap desa transjogja kota jalur terang aplikasi transjogja satu mesti motor terminal mnt transjogja halte tuju halte dekat tuju halte terang jalan kaki brp menit ojek aplikasi udah pakai,29,Neutral
